tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Welcome news and a big sigh of a relief for Anna and her family. Home care services for New Jerseyans with disabilities shouldn’t be subject to such arbitrary and sudden cuts. https://twitter.com/njdotcom/status/1140706259697590273 …,1140986287484260352,2019-06-18,14:15:04,senbooker,3,15,70,2019-06-18 14:15:04
I’m encouraged to see this legislation to study the issue gain support in Congress and the shared commitment my colleagues have in doing our part to repair the harm done to African-Americans.,1139538985250971648,2019-06-14,14:24:00,senbooker,136,67,302,2019-06-14 14:24:00
"NEW JERSEY! My staff will be answering your questions and helping you resolve any issues with the federal government at an event near you.

⬇️⬇️⬇️ pic.twitter.com/gqikvM7Ok0",1138917640917770240,2019-06-12,21:15:00,senbooker,16,17,27,2019-06-12 21:15:00
"Jon Stewart is right. Our first responders, many from New Jersey, responded to the 9/11 attacks in 5 seconds. 

In an instant, they made a sacrifice for our country for which we can never repay them. They did their jobs and it is time for Congress to start doing ours. https://twitter.com/NBCNews/status/1138483754438148098 …",1138888699926573057,2019-06-12,19:20:00,senbooker,8,49,264,2019-06-12 19:20:00
"""It's a love story, [@SenateGOP] just say yes"" pic.twitter.com/tdR4XBfnWo",1138844558777888768,2019-06-12,16:24:36,senbooker,5,27,107,2019-06-12 16:24:36
"NJ West Point Cadet CJ Morgan leaves behind a legacy of courage and sacrifice. My thoughts and prayers go out to the Morgan family and all of those affected by this tragedy.

Full statement here:  https://www.booker.senate.gov/?p=press_release&id=935 …",1137039648713314309,2019-06-07,16:52:32,senbooker,1,16,70,2019-06-07 16:52:32
"On National Gun Violence Awareness Day, #WearOrange to honor those whose lives have been taken by senseless and preventable gun violence. 

NJ @MomsDemand is hosting events across the state, find one near you: https://wearorange.org/ ",1137017621277073408,2019-06-07,15:25:00,senbooker,16,43,107,2019-06-07 15:25:00
"Each year Americans lose billions to some brokers who don't act in their best interest. Trump's SEC is making this worse. Today's rule weakens consumer protections, instead of strengthening them, and the SEC's claims otherwise are the height of deception. https://www.cnbc.com/2019/06/05/sec-adopts-rule-to-protect-ordinary-investors-critics-say-its-too-lax.html …",1136356381001474048,2019-06-05,19:37:28,senbooker,14,53,82,2019-06-05 19:37:28
"As Muslims around the world gather to celebrate Eid al-Fitr with families, friends and loved ones today, I send heartfelt wishes for a joyous celebration! #EidMubarak",1135931716709834752,2019-06-04,15:30:00,senbooker,11,17,77,2019-06-04 15:30:00
"As we begin #PrideMonth, let us all use our voices to ensure our laws don't discriminate based on who you are and who you love. It's time for the Senate to pass the #EqualityAct. 

@taylorswift13, we are so thrilled to have you as an ally. Who else is in? https://twitter.com/taylorswift13/status/1134673128301453312 …",1135191949495996416,2019-06-02,14:30:26,senbooker,26,500,2498,2019-06-02 14:30:26
"Happy #PrideMonth, New Jersey!

As we celebrate our diversity and all the progress we’ve made to ensure equal rights for LGBTQ+ Americans, let’s also remember that the fight is ongoing and much work remains to be done 🌈 pic.twitter.com/aLLidFwM76",1134889293875470343,2019-06-01,18:27:47,senbooker,13,19,115,2019-06-01 18:27:47
"Thank you, @SenatorIsakson, for your decades of service and your steadfast commitment to foreign assistance and diplomacy, and especially U.S leadership in Africa. It’s been a pleasure to learn from and work alongside you.",1166879709873016832,2019-08-29,01:06:17,senbooker,14,7,53,2019-08-29 01:06:17
"The Gateway Program is America’s most vital infrastructure project. New Jerseyans, the region & our nation’s economy struggle with this century-old transportation infrastructure every day. The Trump administration needs to step up & fund this project before it’s too late. https://twitter.com/ABC7NY/status/1166780389895135232 …",1166847279057256448,2019-08-28,22:57:24,senbooker,11,29,84,2019-08-28 22:57:24
This announcement is a welcome step towards removing the threat of lead from Newark residents’ drinking water. It reflects our shared commitment to quickly finding a solution & I will continue working at the federal level to ensure Newark has the resources it needs. https://twitter.com/NJTVNews/status/1166003409872441351 …,1166058931883597826,2019-08-26,18:44:48,senbooker,17,17,90,2019-08-26 18:44:48
"Thread ⬇️
@brianschatz is right. We need to act on the crisis in the Amazon. https://twitter.com/brianschatz/status/1164649230058737664 …",1164927815713792001,2019-08-23,15:50:09,senbooker,14,21,95,2019-08-23 15:50:09
"On #BlackWomensEqualPay Day we’re talking about #61cents - what black women make for each $1 white men make. This hurts black women, families, and our economy everyday. We must value black women’s work. #BlackWomenCantWait for the gap to close--let’s pass #PaycheckFairness today. pic.twitter.com/LJChh2jKCx",1164601791515959296,2019-08-22,18:14:39,senbooker,50,49,117,2019-08-22 18:14:39
"Thanks to @momsdemand for their leadership in organizing today’s #RecessRally in NJ to fight for stricter gun safety laws. 

Your move, @senatemajldr. pic.twitter.com/hSkX5Xp4ur",1163178200580677638,2019-08-18,19:57:48,senbooker,28,157,635,2019-08-18 19:57:48
"The @EPA needs to provide on-the-ground support and resources for Newark residents who have been affected by lead exposure. 

Read the letter I wrote them yesterday, along with @SenatorMenendez @RepDonaldPayne @RepSires
 https://www.booker.senate.gov/?p=press_release&id=975 …",1161775919729717248,2019-08-14,23:05:38,senbooker,17,19,59,2019-08-14 23:05:38
New Jersey’s @ElmoraYouth Troopers have made history and are on their way to the @LittleLeague World Series! Best of luck in Williamsport! ⚾️⚾️⚾️ https://www.nj.com/essex/2019/08/they-did-it-njs-little-league-champs-are-going-to-the-world-series.html?utm_medium=social&utm_campaign=njdotcom_sf&utm_source=twitter&utm_content=nj_twitter_njdotcom …,1161291322982129664,2019-08-13,15:00:01,senbooker,7,14,107,2019-08-13 15:00:01
"Glad the NCAA reversed course on this misguided requirement. We need to protect student athletes, but we should also respect their choices – not merely as “client athletes” of the NCAA but as young adults. https://twitter.com/SportsCenter/status/1160988440437174272 …",1161253128072830976,2019-08-13,12:28:15,senbooker,2,9,60,2019-08-13 12:28:15
The Trump administration is siding with corporate polluters and weakening protections for imperiled species under the ESA. We can't risk the future of our planet in order to benefit these special interests. https://twitter.com/CNNPolitics/status/1160957898064875521 …,1161006478033113090,2019-08-12,20:08:09,senbooker,38,106,206,2019-08-12 20:08:09
"Today, I unveiled a climate change plan focused on nature-based solutions to remove carbon from our atmosphere. Inspired by the New Deal, our bill calls for farm stewardship on 100M acres, planting 15B trees, and restoring wetlands.

Read the full bill: https://www.scribd.com/document/420980108/Climate-Stewardship-Act-of-2019 …",1159533589928861698,2019-08-08,18:35:25,senbooker,47,129,395,2019-08-08 18:35:25
"It’s National Health Center Week! 

Join me in thanking all of the providers, patients, and partners who bring comprehensive primary and preventative healthcare services to our most vulnerable communities in New Jersey and across the country. Thank you for all you do!",1159196943157010441,2019-08-07,20:17:42,senbooker,13,9,31,2019-08-07 20:17:42
White supremacy is domestic terrorism. The President must call it out and condemn it. El Paso and our country deserve better.,1158066964176211969,2019-08-04,17:27:34,senbooker,307,140,667,2019-08-04 17:27:34
"This is a moral moment in our country. While our hearts break for El Paso and Dayton, we have an obligation to act and put an end to this epidemic—now. Washington needs to stop answering to the corporate gun lobby and start answering to victims of gun violence and their families.",1158066961944907776,2019-08-04,17:27:34,senbooker,175,156,709,2019-08-04 17:27:34
"Without the selfless service of our troops and their families, we would not be able to enjoy the freedoms that make America so extraordinary. Today, and everyday, we honor and thank our Vietnam Veterans for their incredible service and sacrifice. #VietnamWarVeteransDay pic.twitter.com/PYxztwM6iQ",1111655118657728512,2019-03-29,15:43:28,senbooker,28,86,259,2019-03-29 15:43:28
We clearly need legislation to protect our civil rights online. Social media giants like Facebook (the largest advertising platform in the nation) can NOT be allowed to encourage & enable discrimination on their platforms. https://twitter.com/propublica/status/1111318468798881797 …,1111343578301771776,2019-03-28,19:05:31,senbooker,31,18,75,2019-03-28 19:05:31
Making history & making NJ proud! Congrats to Anthony Ashnault and Nick Suriano on becoming the 1st and 2nd ever @ncaawrestling national champions in @RutgersU history! #JerseyPride 🏆 https://twitter.com/RUWrestling/status/1109659669721690114 …,1111333889992257537,2019-03-28,18:27:01,senbooker,15,61,406,2019-03-28 18:27:01
"I’m tired of seeing sidewalk shrines to the victims of gun violence in my community and in cities all across America. It’s nice to have a hearing… but we need to have a vote, and we need to change some laws. pic.twitter.com/wLblD3am3K",1110643507440562177,2019-03-26,20:43:41,senbooker,67,117,480,2019-03-26 20:43:41
"Health 👏🏽 care 👏🏽 is 👏🏽 a 👏🏽 right. 

We fought and won the battle to keep health care coverage for millions, and we will do it again. Bring it. https://twitter.com/CNN/status/1110504180488290304 …",1110561459216568321,2019-03-26,15:17:39,senbooker,63,124,607,2019-03-26 15:17:39
"To the resilient Parkland community & anyone struggling with tragedy, please know that you are not in this alone. I can’t begin to understand your pain, but suicide is never the answer. There is help, there will be brighter days. 

Please call: 1-800-273-8255 (TALK)",1109990498322788352,2019-03-25,01:28:52,senbooker,20,349,1146,2019-03-25 01:28:52
"I am demanding the Mueller report be made immediately available for members of Congress and for the public. Anything short of full transparency will be detrimental to our country moving forward. 

The American people deserve the truth. https://twitter.com/nytimes/status/1109199357491007489 …",1109203725716017153,2019-03-22,21:22:30,senbooker,1804,1506,6939,2019-03-22 21:22:30
"NJ is set to vote on a marijuana legalization bill that has strong measures to reverse the damage of the War on Drugs. 
 
I hope this bill passes & NJ can lead the nation on this. Marijuana legalization & social justice *must* go hand in hand. We can’t have one without the other.",1109169697692499968,2019-03-22,19:07:17,senbooker,82,216,1060,2019-03-22 19:07:17
"What a dark day – I stand in mourning with the people of Christchurch, New Zealand as well as our fellow Muslim brothers and sisters. It is on all of us to make it clear every single day – there is no place in this world for bigotry, evil and hate. https://www.nytimes.com/2019/03/15/world/asia/new-zealand-shooting-updates-christchurch.html?action=click&module=Top%20Stories&pgtype=Homepage …",1106538080578822145,2019-03-15,12:50:11,senbooker,39,99,500,2019-03-15 12:50:11
"Last year, U.S. student loan debt hit an unprecedented $1.5 trillion – and in NJ alone, students carry a ~$43 billion in student debt. This needs to change. Grateful to talk about our new #DebtFreeCollege bill w/ @NJCitizenAction & @theSBPC. Our students deserve better! pic.twitter.com/o8d5h2XRn4",1106298716577763337,2019-03-14,20:59:02,senbooker,41,45,155,2019-03-14 20:59:02
"Just now: I, along with the majority, of the Senate voted to REJECT @realdonaldtrump's emergency declaration for his wall. The President's scare tactics & tantrums won't work. The fact that Pres. Trump didn't get his way, is NOT a national emergency. https://twitter.com/realDonaldTrump/status/1106196590065303552 …",1106268915418701825,2019-03-14,19:00:37,senbooker,82,173,932,2019-03-14 19:00:37
"LGBTQ Americans deserve equal protection under the law.
LGBTQ Americans deserve equal protection under the law.
LGBTQ Americans deserve equal protection under the law.
LGBTQ Americans deserve equal protection under the law.
#EqualityAct",1105902576804024320,2019-03-13,18:44:55,senbooker,117,1352,5539,2019-03-13 18:44:55
"Testifying right now in front of a House Oversight subcommittee on my bipartisan #BanTheBox legislation: the Fair Chance Act. This bill has now passed out of its Senate committee 3 times. Looking forward to the day it gets signed into law. 
Watch LIVE:  https://www.youtube.com/channel/UCXSlyao4qkUFiPqghptHtZA?view_as=subscriber … pic.twitter.com/6go6W3G0x8",1105896336170328064,2019-03-13,18:20:07,senbooker,6,26,67,2019-03-13 18:20:07
"Today we're reintroducing the #EqualityAct. My hope is every LGBTQ American who's been bullied or discriminated against, knows that in the halls of Congress – we👁️you, we👂🏼you, we❤️you. 

This bill isn't demanding special treatment – it's demanding equal justice under law.",1105830678258700288,2019-03-13,13:59:13,senbooker,30,149,715,2019-03-13 13:59:13
"Despite repeated promises to not cut social security, medicare, & medicaid – the #TrumpBudget just proposed over a TRILLION dollars in cuts to those critical programs. This is a devastatingly cruel budget proposal that will hurt millions. Try again. https://twitter.com/realDonaldTrump/status/596338364187602944 …",1105231486897278984,2019-03-11,22:18:15,senbooker,90,378,1012,2019-03-11 22:18:15
"Happy #InternationalWomensDay! Today and everyday – may we all celebrate, honor, and cherish the incredible women around us by fighting to make sure they have equal opportunity to pursue their dreams. pic.twitter.com/GbkMHbcpLT",1104077438202638336,2019-03-08,17:52:28,senbooker,31,42,178,2019-03-08 17:52:28
"TODAY at 12:45PM: I'll be sharing more about the Next Step Act at a press conference with my House partner on this bill @RepBonnie. 

Tune in LIVE:  http://www.facebook.com/senatorcorybooker … pic.twitter.com/u8WCBiBsMW",1103705299570094080,2019-03-07,17:13:43,senbooker,14,15,46,2019-03-07 17:13:43
My incredible Chief Counsel Tona Boyd is on her way right now to the Senate floor to officially introduce my new criminal justice reform bill: the Next Step Act! pic.twitter.com/IFw5qWbtva,1103698642962124800,2019-03-07,16:47:16,senbooker,22,44,231,2019-03-07 16:47:16
"I want to especially thank my House partner on the Next Step Act – @RepBonnie – for joining me in this work of introducing the most comprehensive criminal justice bill in decades. 

We hope this bill garners the same kind of bipartisan support as the First Step Act.",1103690548223897605,2019-03-07,16:15:06,senbooker,6,11,51,2019-03-07 16:15:06
"The Next Step Act would improve the reporting of police use-of-force incidents (currently DOJ is required to report use-of-force stats to Congress, but states & local law enforcement agencies don't have to pass that info on to federal authorities, creating a big gap in data)",1103689749993279489,2019-03-07,16:11:56,senbooker,2,17,63,2019-03-07 16:11:56
The Next Step Act would ban racial and religious profiling.,1103689223738134529,2019-03-07,16:09:51,senbooker,7,18,65,2019-03-07 16:09:51
"The Next Step Act would provide better training for law enforcement officers in implicit racial bias, de-escalation, and use-of-force.",1103689154884497409,2019-03-07,16:09:34,senbooker,4,16,54,2019-03-07 16:09:34
"The Next Step Act would improve the ability of those behind bars to stay in touch w/ loved ones, by banning the practice of charging high rates for phone calls (> $400-$500 / month) & ensuring authorities consider where someone’s kids are when placing them in a federal facility.",1103689007798673408,2019-03-07,16:08:59,senbooker,3,14,40,2019-03-07 16:08:59
"The Next Step Act would ensure that anyone released from federal prison receives meaningful assistance in obtaining a photo-ID, birth certificate, social security card, or work authorization documents.",1103688471661686784,2019-03-07,16:06:51,senbooker,3,22,63,2019-03-07 16:06:51
The Next Step Act would create a federal pathway to sealing the records of nonviolent drug offenses for adults and automatically sealing (and in some cases expunging) juvenile records.,1103688340895870976,2019-03-07,16:06:20,senbooker,1,16,46,2019-03-07 16:06:20
The Next Step Act would reinstate the right to vote in federal elections for formerly incarcerated individuals (blacks are more than four times as likely than whites to have their voting rights revoked because of a criminal conviction).,1103688236642258945,2019-03-07,16:05:55,senbooker,1,18,53,2019-03-07 16:05:55
"The Next Step Act would remove barriers for people with criminal convictions to receive an occupational license for jobs, such as hair dressers and taxi drivers.",1103688103485734914,2019-03-07,16:05:24,senbooker,2,15,48,2019-03-07 16:05:24
"The Next Step Act would “Ban the Box” by prohibiting federal employers & contractors from asking a job applicant about criminal history until final stages of interview process, so formerly incarcerated individuals get a more objective shot at finding meaningful employment.",1103687900691079175,2019-03-07,16:04:35,senbooker,2,13,47,2019-03-07 16:04:35
"The Next Step Act would end the federal prohibition on marijuana, expunge records, and reinvest in the communities most harmed by the War on Drugs.",1103687555248242688,2019-03-07,16:03:13,senbooker,2,31,71,2019-03-07 16:03:13
The Next Step Act would eliminate the disparity between crack and powder cocaine sentences (currently it is 18:1 but this bill would bring down to 1:1) AND make it retroactive.,1103687317892620288,2019-03-07,16:02:16,senbooker,3,18,56,2019-03-07 16:02:16
"The Next Step Act would reduce harsh mandatory minimums for nonviolent drug offenses: the 20-year mandatory minimum would be reduced to 10 years, the 10-year mandatory minimum would be reduced to 5 years, and the 5-year mandatory minimum would be reduced to 2 years.",1103686728345374721,2019-03-07,15:59:56,senbooker,5,22,58,2019-03-07 15:59:56
"I supported the First Step Act - a historic criminal justice bill recently signed into law – but that's just the beginning. 

Today I'm introducing a new bill – the Next Step Act – to push for bolder, more progressive criminal justice reform. Here's what we're fighting for: pic.twitter.com/98PDv3De5J",1103682276385308674,2019-03-07,15:42:14,senbooker,39,140,359,2019-03-07 15:42:14
40% of low-income students who get accepted to college never enroll because it’s too expensive. Going to college needs to be affordable – that includes tuition AND cost of living. That's why I'm co-sponsoring the #DebtFreeCollege Act w/ @SenBrianSchatz & @repmarkpocan pic.twitter.com/1EAxv7J9qb,1103366760093437952,2019-03-06,18:48:29,senbooker,40,38,133,2019-03-06 18:48:29
The Internet shouldn't belong to big corporations – it should belong to all of us.  #NetNeutrality is the free speech issue of our time. I'm joining @SenMarkey and 40+ senators on the Save The Internet Act of 2019 to finally return the internet to the American people. #SaveTheNet pic.twitter.com/KNSJdaKAuV,1103340564978847745,2019-03-06,17:04:24,senbooker,75,310,1029,2019-03-06 17:04:24
"For too long, millions of Americans & their families have been devastated by a fractured criminal justice system that overwhelmingly hurts people of color, the poor, mentally ill, abused & addicted. Thanks to @Cut_50 & NJ’s @wwngup1 for telling their stories. #DayOfEmpathy pic.twitter.com/QoGQIxHJiJ",1103030464149893121,2019-03-05,20:32:10,senbooker,26,50,182,2019-03-05 20:32:10
Congratulations @Brandon_McKoy on the new role as President of @NJPolicy! Brandon is already widely regarded as one of New Jersey's key players in progressive economic reform. Looking forward to our continued work on issues of critical importance to NJ.,1101580824586129409,2019-03-01,20:31:49,senbooker,22,22,90,2019-03-01 20:31:49
Celebrating the incredible women of the 116th U.S. Congress this #WomensHistoryMonth 🙌🏽 pic.twitter.com/jQ9aSn6AZP,1101507346503745538,2019-03-01,15:39:51,senbooker,24,334,858,2019-03-01 15:39:51
I voted no on Trump's nominee to lead the EPA: Andrew Wheeler. After questioning him in a hearing I have no confidence he will champion the mission of the EPA. He doesn't understand the urgency of climate change or the important fight for environmental justice. We must do better.,1101501180537122822,2019-03-01,15:15:20,senbooker,82,180,1204,2019-03-01 15:15:20
